prospect_id,event_type,campaign_step,day,hour,weekday,ts,sg_event_id,url
P001,processed,webhook,0,13,2,1778075215,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1YVndVSnJXV1QxQ0NBZkVfOS0wSGp3LTA,
P005,delivered,webhook,0,13,2,1778075219,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LUowd2ZwRzJnU2NhNWhLMEpkc01MUkEtMA,
P005,processed,webhook,0,13,2,1778075217,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1KMHdmcEcyZ1NjYTVoSzBKZHNNTFJBLTA,
P004,delivered,webhook,0,13,2,1778075218,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LXpfeS1SbkRwUVZXMGtTNmduOVF3YUEtMA,
P004,processed,webhook,0,13,2,1778075216,cHJvY2Vzc2VkLTEwNjg3Njk0Ni16X3ktUm5EcFFWVzBrUzZnbjlRd2FBLTA,
P001,delivered,webhook,0,13,2,1778075218,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LVhWd1VKcldXVDFDQ0FmRV85LTBIanctMA,
P003,delivered,webhook,0,13,2,1778075218,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LTFITWRZRUZJUXNTemVTeVdYZFlMMFEtMA,
P003,processed,webhook,0,13,2,1778075216,cHJvY2Vzc2VkLTEwNjg3Njk0Ni0xSE1kWUVGSVFzU3plU3lXWGRZTDBRLTA,
P002,delivered,webhook,0,13,2,1778075217,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LWdoYzNkNDF6VGFlM2dxeVo0Wk41ZWctMA,
P002,processed,webhook,0,13,2,1778075216,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1naGMzZDQxelRhZTNncXlaNFpONWVnLTA,
P004,open,webhook,0,14,2,1778076015,TRW3QeCgRROSkv88B129yA,
P003,click,webhook,0,13,2,1778075957,d2yjswwkQoWx-Oxz7WNHYw,https://www.facebook.com/sendgrid/
P001,click,webhook,0,13,2,1778075894,OqhWamv9TUGqYgf3mKYNwA,https://ogenies.com/
P001,open,webhook,0,13,2,1778075875,zSqKJvm9R8qdiaExCxxkhg,
P003,open,webhook,0,13,2,1778075945,vZaGNjhYQOW_Pos5wAT8TA,
P003,click,webhook,0,13,2,1778075973,8aWXNiE9QWKBOcLYPSx1sQ,https://ogenies.com/
P007,processed,webhook,0,12,3,1778157165,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1TUGotcVZHalFUZS1OM0RyMGxKVzdRLTA,
P009,processed,webhook,0,12,3,1778157166,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1LVEFLT1pjQlFILVhiR2dDamJPSGVnLTA,
P006,delivered,webhook,0,12,3,1778157167,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LU1tWkhfM0h3U2htdUJ2cFp4cFpRVmctMA,
P006,processed,webhook,0,12,3,1778157165,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1NbVpIXzNId1NobXVCdnBaeHBaUVZnLTA,
P008,delivered,webhook,0,12,3,1778157167,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LXQ5LWJNZE5KUmdHVFVHVkVYSHBMdlEtMA,
P008,processed,webhook,0,12,3,1778157165,cHJvY2Vzc2VkLTEwNjg3Njk0Ni10OS1iTWROSlJnR1RVR1ZFWEhwTHZRLTA,
P007,delivered,webhook,0,12,3,1778157167,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LVNQai1xVkdqUVRlLU4zRHIwbEpXN1EtMA,
P010,delivered,webhook,0,12,3,1778157169,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LWNuVGdnNnQ1UVlPRTBiRV94aWZRUUEtMA,
P010,processed,webhook,0,12,3,1778157166,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1jblRnZzZ0NVFZT0UwYkVfeGlmUVFBLTA,
P009,delivered,webhook,0,12,3,1778157168,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LUtUQUtPWmNCUUgtWGJHZ0NqYk9IZWctMA,
P006,open,webhook,0,12,3,1778157828,uJFZsfIIQx222-DOUSs1HQ,
P006,click,webhook,0,12,3,1778157832,aghlvqE5TZesB3yoyDBO6A,https://ogenies.com/
P007,open,webhook,0,12,3,1778157854,L1on8NafTk2cdrwhE4RPTw,
P007,click,webhook,0,12,3,1778157878,UT0u_HPwTFuRrLVSXHQ7jQ,https://ogenies.com/
P008,click,webhook,0,12,3,1778157891,YSA5nA95QZuXCBlJfiwtQw,https://www.facebook.com/sendgrid/
P008,click,webhook,0,12,3,1778157909,3Ppe6bK7QOCgnBSWrhEk7Q,https://ogenies.com/
P002,delivered,webhook,0,14,3,1778165349,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LWxfR3AyMWxaUTdhMzJWc3FfUW9QRVEtMA,
P002,processed,webhook,0,14,3,1778165347,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1sX0dwMjFsWlE3YTMyVnNxX1FvUEVRLTA,
P003,processed,webhook,0,14,3,1778165347,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1RQU1YbXlMN1M1T0tyNE1jc2I5clBRLTA,
P005,processed,webhook,0,14,3,1778165348,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1YQmRTY1BlaFRoQzN4NlREVUpTVHVBLTA,
P004,delivered,webhook,0,14,3,1778165352,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LUZwM0pUYU1sUk5tbkxhbEdVVmxCbWctMA,
P004,processed,webhook,0,14,3,1778165348,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1GcDNKVGFNbFJObW5MYWxHVVZsQm1nLTA,
P001,delivered,webhook,0,14,3,1778165348,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LS1iWURFemZoU21DSGxVN2RZMzdOZ3ctMA,
P001,processed,webhook,0,14,3,1778165346,cHJvY2Vzc2VkLTEwNjg3Njk0Ni0tYllERXpmaFNtQ0hsVTdkWTM3Tmd3LTA,
P003,delivered,webhook,0,14,3,1778165351,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LVFBTVhteUw3UzVPS3I0TWNzYjlyUFEtMA,
P005,delivered,webhook,0,14,3,1778165351,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LVhCZFNjUGVoVGhDM3g2VERVSlNUdUEtMA,
P001,processed,webhook,0,14,3,1778165361,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1idl9pa2g1MVQyMlpXV3d1REVjdHF3LTA,
P002,delivered,webhook,0,14,3,1778165363,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LXBncmNBOWJjUjAtX0ZKeU1wdEo0eVEtMA,
P002,processed,webhook,0,14,3,1778165361,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1wZ3JjQTliY1IwLV9GSnlNcHRKNHlRLTA,
P003,delivered,webhook,0,14,3,1778165363,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LTc0LVQ4QU1GVEZtT2ZVaXUyRXB2NVEtMA,
P003,processed,webhook,0,14,3,1778165361,cHJvY2Vzc2VkLTEwNjg3Njk0Ni03NC1UOEFNRlRGbU9mVWl1MkVwdjVRLTA,
P004,delivered,webhook,0,14,3,1778165364,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LWs1X3VtbTdHUmdLWlczRG5wU2Y3NnctMA,
P004,processed,webhook,0,14,3,1778165361,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1rNV91bW03R1JnS1pXM0RucFNmNzZ3LTA,
P005,delivered,webhook,0,14,3,1778165364,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LVBISXc0cmNqVHRXUVdoYThZVnFsVEEtMA,
P005,processed,webhook,0,14,3,1778165362,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1QSEl3NHJjalR0V1FXaGE4WVZxbFRBLTA,
P001,delivered,webhook,0,14,3,1778165363,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LWJ2X2lraDUxVDIyWldXd3VERWN0cXctMA,
P001,processed,webhook,0,16,3,1778170227,cHJvY2Vzc2VkLTEwNjg3Njk0Ni1ZUXZNUFIyQVJHbTF4dmNieVRDeEN3LTA,
P001,delivered,webhook,0,16,3,1778170229,ZGVsaXZlcmVkLTAtMTA2ODc2OTQ2LVlRdk1QUjJBUkdtMXh2Y2J5VEN4Q3ctMA,
P001,processed,webhook,0,17,3,1779990001,evt_test_1,
P001,delivered,webhook,0,17,3,1779990002,evt_test_2,
P001,open,webhook,0,17,3,1779990100,evt_test_3,
P001,click,webhook,0,17,3,1779990200,evt_test_4,https://ogenies.com/
